description,brand
"All Natural* 93% Lean/7% Fat Lean Ground Beef Tray, 1 lb",
All Natural* 73% Lean/27% Fat Lean Ground Beef,
"Beef Bottom Round Steak Thin, 0.34 - 2.0 lb",
"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",
"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 2.25 lb",
"Beef Stew Meat Family Pack, 2.15 - 3.0 lb",
"Beef Stew Meat, 0.68 - 1.31 lb",
"All Natural* 80% Lean/20% Fat Ground Beef Chuck Roll, 1 lb",
"All Natural* 73% Lean/27% Fat Ground Beef Roll, 3 lb",
"All Natural* 93% Lean/7% Fat Lean Ground Beef Tray, 2.25 lb",
"Beef Carne Para Deshebrar, 1.22 - 2.22 lb",
"Marketside Butcher Organic Grass-Fed 85% Lean/15% Fat, Ground Beef, 1 lb",
"All Natural* 93% Lean/7% Fat Lean Ground Beef Roll, 1 lb",
"Beef Choice Angus Sirloin Tender Steak, 0.6 - 1.62 lb",
"Marketside Butcher Organic Grass-Fed 93% Lean / 7% Fat Ground Beef, 1 lb",
"Beef Eye Round Steak Thin, 0.71 - 2.0 lb",
"Beef Chuck Steak, 0.42 - 2.0 lb",
"All Natural* 80% Lean/20% Fat Ground Beef Chuck Roll, 5 lb",
"Beef Tri Tip Roast, 1.52 - 2.73 lb",
"Beef Choice Angus Chuck Roast, 2.25 - 3.38 lb",
"Beef Choice Angus Ribeye Steak Thin, 0.43 - 1.68 lb",
"Beef Tri Tip Roast, 2.04 - 3.04 lb",
"Beef Chuck Tender Roast, 1.62 - 3.73 lb",
"Beef Fine Cubes, 1.0 - 1.5 lb",
"Beef Top Sirloin Steak Family Pack, 1.15 - 2.43 lb",
"Beef Short Ribs Bone-In, 1.1 - 2.1 lb",
"Beef Cubed Steak, 0.73 - 2.05 lb",
"Beef Choice Angus Ribeye Steak, 1.5 - 2.6 lb",
"All Natural* 73% Lean/27% Fat Ground Beef Roll, 5 lb",
"All Natural* 90% Lean/10% Fat Ground Beef Sirloin Tray, 1 lb",
